id,Motivation_Level,Exam_Score,percent
1102,Medium,55,0
5508,Medium,56,0.00015137753557372085
2881,High,57,0.0003027550711474417
3544,Low,57,0.0003027550711474417
5720,Low,57,0.0003027550711474417
5908,Low,57,0.0003027550711474417
669,Low,58,0.0009082652134423251
1211,Low,58,0.0009082652134423251
1751,High,58,0.0009082652134423251
2534,Low,58,0.0009082652134423251
2557,High,58,0.0009082652134423251
2948,Low,58,0.0009082652134423251
3358,Low,58,0.0009082652134423251
3419,Low,58,0.0009082652134423251
3494,Medium,58,0.0009082652134423251
3594,High,58,0.0009082652134423251
3816,Medium,58,0.0009082652134423251
4034,Low,58,0.0009082652134423251
4426,Low,58,0.0009082652134423251
4459,High,58,0.0009082652134423251
4636,Medium,58,0.0009082652134423251
4640,Medium,58,0.0009082652134423251
4775,Low,58,0.0009082652134423251
5199,Low,58,0.0009082652134423251
5520,Low,58,0.0009082652134423251
5791,Low,58,0.0009082652134423251
6001,High,58,0.0009082652134423251
6432,Medium,58,0.0009082652134423251
284,Low,59,0.004238570996064184
505,Low,59,0.004238570996064184
525,Low,59,0.004238570996064184
647,Medium,59,0.004238570996064184
831,Medium,59,0.004238570996064184
1161,Low,59,0.004238570996064184
1246,Medium,59,0.004238570996064184
1397,Low,59,0.004238570996064184
1513,Medium,59,0.004238570996064184
1866,Low,59,0.004238570996064184
2005,Low,59,0.004238570996064184
2084,Medium,59,0.004238570996064184
2102,Low,59,0.004238570996064184
2167,Low,59,0.004238570996064184
2413,Medium,59,0.004238570996064184
2882,High,59,0.004238570996064184
2892,Medium,59,0.004238570996064184
2894,Low,59,0.004238570996064184
3006,Low,59,0.004238570996064184
3059,Low,59,0.004238570996064184
3446,Medium,59,0.004238570996064184
3520,Low,59,0.004238570996064184
3767,Medium,59,0.004238570996064184
4414,Low,59,0.004238570996064184
4612,Medium,59,0.004238570996064184
4639,Low,59,0.004238570996064184
4965,Low,59,0.004238570996064184
4991,Medium,59,0.004238570996064184
5024,Low,59,0.004238570996064184
5027,Medium,59,0.004238570996064184
5169,Low,59,0.004238570996064184
5532,High,59,0.004238570996064184
5574,Medium,59,0.004238570996064184
5764,Medium,59,0.004238570996064184
5826,Medium,59,0.004238570996064184
5839,Low,59,0.004238570996064184
6093,Low,59,0.004238570996064184
6103,High,59,0.004238570996064184
6126,Low,59,0.004238570996064184
6519,Medium,59,0.004238570996064184
17,Low,60,0.010293672419013019
80,Medium,60,0.010293672419013019
224,High,60,0.010293672419013019
286,Medium,60,0.010293672419013019
348,Low,60,0.010293672419013019
675,High,60,0.010293672419013019
719,Low,60,0.010293672419013019
741,Low,60,0.010293672419013019
802,Medium,60,0.010293672419013019
1138,Medium,60,0.010293672419013019
1317,Low,60,0.010293672419013019
1400,Medium,60,0.010293672419013019
1511,High,60,0.010293672419013019
1746,Medium,60,0.010293672419013019
1803,Low,60,0.010293672419013019
2103,Low,60,0.010293672419013019
2112,Medium,60,0.010293672419013019
2204,Medium,60,0.010293672419013019
2212,High,60,0.010293672419013019
2300,Low,60,0.010293672419013019
2320,Low,60,0.010293672419013019
2407,Medium,60,0.010293672419013019
2551,High,60,0.010293672419013019
2561,Low,60,0.010293672419013019
2657,Low,60,0.010293672419013019
2675,Medium,60,0.010293672419013019
2723,Medium,60,0.010293672419013019
2824,Medium,60,0.010293672419013019
2831,Medium,60,0.010293672419013019
2885,Low,60,0.010293672419013019
3001,Medium,60,0.010293672419013019
3086,Medium,60,0.010293672419013019
3132,Medium,60,0.010293672419013019
3133,Low,60,0.010293672419013019
3177,High,60,0.010293672419013019
3196,Low,60,0.010293672419013019
3250,Low,60,0.010293672419013019
3285,Medium,60,0.010293672419013019
3292,Medium,60,0.010293672419013019
3372,High,60,0.010293672419013019
3380,Low,60,0.010293672419013019
3478,High,60,0.010293672419013019
3538,Medium,60,0.010293672419013019
3552,Medium,60,0.010293672419013019
3563,Medium,60,0.010293672419013019
3606,Medium,60,0.010293672419013019
3629,Low,60,0.010293672419013019
3857,Medium,60,0.010293672419013019
4055,Low,60,0.010293672419013019
4063,Medium,60,0.010293672419013019
4282,Low,60,0.010293672419013019
4317,Medium,60,0.010293672419013019
4510,Medium,60,0.010293672419013019
4726,Medium,60,0.010293672419013019
4967,High,60,0.010293672419013019
5081,Low,60,0.010293672419013019
5092,Low,60,0.010293672419013019
5330,Low,60,0.010293672419013019
5373,Medium,60,0.010293672419013019
5522,Medium,60,0.010293672419013019
5588,High,60,0.010293672419013019
5689,Medium,60,0.010293672419013019
5867,Medium,60,0.010293672419013019
5902,High,60,0.010293672419013019
5920,Medium,60,0.010293672419013019
5928,Low,60,0.010293672419013019
6192,Medium,60,0.010293672419013019
6198,Medium,60,0.010293672419013019
6326,Medium,60,0.010293672419013019
6333,Medium,60,0.010293672419013019
6355,Low,60,0.010293672419013019
6359,Medium,60,0.010293672419013019
6380,Low,60,0.010293672419013019
6388,Medium,60,0.010293672419013019
6433,High,60,0.010293672419013019
6449,Low,60,0.010293672419013019
6487,Low,60,0.010293672419013019
2,Low,61,0.021949742658189525
34,Medium,61,0.021949742658189525
36,Low,61,0.021949742658189525
147,Medium,61,0.021949742658189525
194,Low,61,0.021949742658189525
237,Medium,61,0.021949742658189525
263,Medium,61,0.021949742658189525
341,Medium,61,0.021949742658189525
349,Low,61,0.021949742658189525
382,Medium,61,0.021949742658189525
391,Medium,61,0.021949742658189525
393,High,61,0.021949742658189525
450,Low,61,0.021949742658189525
482,Medium,61,0.021949742658189525
493,Medium,61,0.021949742658189525
494,Medium,61,0.021949742658189525
500,High,61,0.021949742658189525
509,Low,61,0.021949742658189525
532,High,61,0.021949742658189525
538,Low,61,0.021949742658189525
609,Medium,61,0.021949742658189525
911,Low,61,0.021949742658189525
986,Medium,61,0.021949742658189525
1042,Medium,61,0.021949742658189525
1064,Low,61,0.021949742658189525
1098,Low,61,0.021949742658189525
1157,Low,61,0.021949742658189525
1184,High,61,0.021949742658189525
1185,Low,61,0.021949742658189525
1202,Medium,61,0.021949742658189525
1232,Low,61,0.021949742658189525
1250,High,61,0.021949742658189525
1253,High,61,0.021949742658189525
1359,High,61,0.021949742658189525
1487,Medium,61,0.021949742658189525
1523,Medium,61,0.021949742658189525
1529,Low,61,0.021949742658189525
1570,Low,61,0.021949742658189525
1599,Medium,61,0.021949742658189525
1720,Medium,61,0.021949742658189525
1725,Low,61,0.021949742658189525
1764,High,61,0.021949742658189525
1768,Medium,61,0.021949742658189525
1776,Medium,61,0.021949742658189525
1809,Low,61,0.021949742658189525
1830,Low,61,0.021949742658189525
1934,Medium,61,0.021949742658189525
1966,Medium,61,0.021949742658189525
2011,Medium,61,0.021949742658189525
2013,Medium,61,0.021949742658189525
2140,High,61,0.021949742658189525
2229,Low,61,0.021949742658189525
2267,Low,61,0.021949742658189525
2302,Low,61,0.021949742658189525
2363,Low,61,0.021949742658189525
2367,High,61,0.021949742658189525
2473,Low,61,0.021949742658189525
2576,Medium,61,0.021949742658189525
2612,Low,61,0.021949742658189525
2662,Medium,61,0.021949742658189525
2676,High,61,0.021949742658189525
2745,Medium,61,0.021949742658189525
2805,Low,61,0.021949742658189525
2806,Medium,61,0.021949742658189525
2915,Medium,61,0.021949742658189525
2933,Medium,61,0.021949742658189525
2962,Low,61,0.021949742658189525
3037,Medium,61,0.021949742658189525
3039,Low,61,0.021949742658189525
3107,High,61,0.021949742658189525
3127,Low,61,0.021949742658189525
3144,Medium,61,0.021949742658189525
3233,High,61,0.021949742658189525
3235,Medium,61,0.021949742658189525
3264,Medium,61,0.021949742658189525
3283,Medium,61,0.021949742658189525
3287,Low,61,0.021949742658189525
3311,Low,61,0.021949742658189525
3360,Medium,61,0.021949742658189525
3378,Medium,61,0.021949742658189525
3379,Low,61,0.021949742658189525
3418,Low,61,0.021949742658189525
3562,Medium,61,0.021949742658189525
3579,Low,61,0.021949742658189525
3703,Medium,61,0.021949742658189525
3712,Medium,61,0.021949742658189525
3733,Low,61,0.021949742658189525
3775,Low,61,0.021949742658189525
3802,Medium,61,0.021949742658189525
3813,Medium,61,0.021949742658189525
3820,Medium,61,0.021949742658189525
3874,Medium,61,0.021949742658189525
3893,Medium,61,0.021949742658189525
3894,Medium,61,0.021949742658189525
3929,Low,61,0.021949742658189525
3991,Low,61,0.021949742658189525
4016,Low,61,0.021949742658189525
4023,Medium,61,0.021949742658189525
4026,Medium,61,0.021949742658189525
4076,Medium,61,0.021949742658189525
4078,Medium,61,0.021949742658189525
4112,Medium,61,0.021949742658189525
4183,Low,61,0.021949742658189525
4196,Low,61,0.021949742658189525
4208,High,61,0.021949742658189525
4221,Medium,61,0.021949742658189525
4236,Medium,61,0.021949742658189525
4243,Medium,61,0.021949742658189525
4315,Low,61,0.021949742658189525
4325,Medium,61,0.021949742658189525
4327,Medium,61,0.021949742658189525
4393,Medium,61,0.021949742658189525
4397,High,61,0.021949742658189525
4466,Medium,61,0.021949742658189525
4503,Medium,61,0.021949742658189525
4527,Low,61,0.021949742658189525
4589,Medium,61,0.021949742658189525
4591,Low,61,0.021949742658189525
4692,Medium,61,0.021949742658189525
4711,Medium,61,0.021949742658189525
4748,Medium,61,0.021949742658189525
4803,Low,61,0.021949742658189525
4847,Low,61,0.021949742658189525
4851,Medium,61,0.021949742658189525
4867,Low,61,0.021949742658189525
4892,Low,61,0.021949742658189525
4932,Low,61,0.021949742658189525
4962,Low,61,0.021949742658189525
5006,Low,61,0.021949742658189525
5060,Medium,61,0.021949742658189525
5064,Low,61,0.021949742658189525
5363,Low,61,0.021949742658189525
5369,Medium,61,0.021949742658189525
5371,Medium,61,0.021949742658189525
5412,Medium,61,0.021949742658189525
5418,Medium,61,0.021949742658189525
5422,Medium,61,0.021949742658189525
5430,Medium,61,0.021949742658189525
5537,Medium,61,0.021949742658189525
5546,Medium,61,0.021949742658189525
5597,Medium,61,0.021949742658189525
5640,High,61,0.021949742658189525
